Rocket_Type,Max_Altitude_km,Launch_Site,Launch_Site_Coordinates_(x0;y0;z0),Type_of_Orbit,Initial_Velocity_v0_m_per_s,Launch_Angle_theta_deg,Inclination_Angle_phi_deg,Total_Fuel_Capacity_kg,Mass_kg,Thrust_N,Burn_Time_s
Electron,500,"Rocket Lab Launch Complex 1, Māhia Peninsula, New Zealand","(-39.261;177.864;0)","LEO",7800,40,39.0,4300,225,934000,80
Falcon 1,800,"Omelek Island, Kwajalein Atoll, Marshall Islands","(9.0476;167.7431;0)","LEO",7800,45,9.0,10400,470,1800000,169
Nuri,800,"Naro Space Center, Goheung, South Korea","(34.431;127.535;0)","LEO",7800,40,34.4,29000,1330,4400000,145
PSLV,2000,"Satish Dhawan Space Centre, Sriharikota, India","(13.719;80.2304;0)","LEO",7800,35,13.7,295000,17000,3200000,110
Vega,2000,"Guiana Space Centre, French Guiana","(5.236;-52.768;0)","LEO",7800,35,5.2,137000,9700,2500000,112
SSLV,2000,"Satish Dhawan Space Centre, Sriharikota, India","(13.719;80.2304;0)","LEO",7800,35,13.7,87000,7000,2100000,100
Firefly Alpha,1000,"Vandenberg Space Force Base, California, USA","(34.742;-120.572;0)","LEO",7800,40,34.7,22000,1000,1720000,165
Astra Rocket 3,500,"Kodiak Launch Complex, Alaska, USA","(57.435;-152.337;0)","LEO",7800,45,57.4,18000,750,1300000,150
Soyuz-2.1a,20000,"Baikonur Cosmodrome, Kazakhstan","(45.964;63.305;0)","MEO",10000,50,45.9,305000,20800,6600000,118
Delta IV Medium,20000,"Cape Canaveral, Florida, USA","(28.3922;-80.6077;0)","MEO",10000,50,28.5,410000,33000,5100000,245
Antares,2000,"Wallops Flight Facility, Virginia, USA","(37.834;-75.488;0)","LEO",7800,40,37.8,261000,14000,3700000,235
Long March 2F,2000,"Jiuquan Satellite Launch Center, China","(40.958;100.291;0)","LEO",7800,45,41.0,464000,21000,6000000,166
H-IIA,35786,"Tanegashima Space Center, Japan","(30.401;130.976;0)","GEO",10000,30,30.4,445000,15000,4200000,397
